;C Tatro;C Rsolani;C Ssclerot;C Bcinerea;AC Tatro;AC Rsolani;AC Ssclerot;AC Bcinerea
chs5;1,264;1,71;2,555;3,835;1,769;2,783;3,415;0,496
chs7;0,989;1,282;2,308;3,668;1,382;2,018;3,263;0,545
chs4;1,205;1,55;2,582;3,037;1,989;2,859;2,584;0,549
chs1;1,648;2,474;3,47;3,612;3,069;2,79;4,162;0,703
chs3;0,507;0,922;1,919;2,597;0,697;1,417;2,543;0,361
cda2;0,759;1,848;1,561;2,482;1,233;1,462;1,78;0,182
chs2;1,021;1,094;1,125;1,266;1,617;1,263;2,037;0,891
chs6;1,245;1,2;0,91;1,2;2,066;2,313;0,533;0,433
cda5;2,732;0,302;0,681;0,568;3,031;2,258;2,713;3,655
cda4;3,893;1,73;0,762;5,84;6,793;2,689;1,117;2,807
cda6;5,521;2,888;0,959;2,289;12,467;5,152;2,227;1,711
chs8;2,389;1,753;1,481;2,261;2,324;3,088;22,887;3,523
cda1;4,847;2,396;2,599;1,003;1,908;4,045;16,126;4,747
cda3;20,568;0,522;1,143;1,155;27,827;9,688;37,531;21,173
